Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2020,11,Female,17,Right-Handed,163,21,159,1,Car,3,0.373,51,Baseball/Softball,500,500,500,500,500,500,22,Left foot,60,70,Ring finger,September,Summer,Yes,No,Meat,Tea,Art,06-May,6,3,Yes - other,In person,15-20,20,6,2,3,4,10,0,3,3,6,1,15-20,4,Very little,Some college,Country,Telepathy,Happy,Relative,Other
USA,NC,2020,12,Female,17,Right-Handed,168,25,170,1,Car,8,0.36,47,Other,850,893,797,620,936,904,24,Right foot,8.6,8.8,Ring finger,February,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),Social studies,7,9,5,Yes - other,Text messaging,35,40,10,5,1,3,12,0,15,3,34,8,5,1,Very little,Graduate degree,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,MI,2020,12,Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,12,Male,17,Right-Handed,,,,1,Car,25,0.366,36,Walking/Hiking,342,455,112,171,545,1000,,,,,,August,Winter,No,No,Poultry,Water,Mathematics and statistics,8,9,4,Yes - other,Internet chat or instant messaging,,,,,,,,,,,,,,,A lot,Less than high school,Rap/Hip hop,Invisibility,Rich,Business person,"Wildlife, animals"
USA,OH,2020,8,Female,13,Right-Handed,161,24,163,1,Bus,4,0.405,48,Other,384,384,658,535,535,583,24,Same length,93,90,Index finger,December,Winter,Yes,No,Meat,Water,Art,8,9,4,,In person,5,5,30,0.5,4,12,4,1.5,6,1,15,15,8,2.5,A lot,Graduate degree,Country,Freeze time,Happy,Other,International aid
USA,NC,2020,12,Female,17,Right-Handed,59.5,22,164,2,Car,10,0.597,60,Other,500,50,200,800,500,800,23,Left foot,65,62,Index finger,June,Fall,No,Yes,Pizza/Pasta,Water,Science,5,07-Jun,4,Yes - broadband connection,Text messaging,500,"2,000",5,15,28,10,10,0,0,28,50,0,5,1,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Friend,Health
USA,OH,2020,12,Female,17,Right-Handed,,,,1,Car,5,0.694,55,None,1000,0,1000,1000,0,1000,,,,,Ring finger,May,Summer,No,No,Breads/Sandwiches,Juice,Other,9,9,4,Yes - other,Text messaging,9,5,3,7,0,2,0,0,0,7,7,5,7,4,Some,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Other,Health
USA,NY,2020,12,Female,17,Left-Handed,172,25,173,2,Rail (Train/Tram/Subway),20,0.371,38,Swimming,980,980,980,980,500,600,24,Right foot,800,800,Same length,March,Summer,No,No,Meat,Tea,,6,9,2,Yes - broadband connection,Text messaging,100,105,4,2,20,10,23,11,15,11,10,6,14,6,Some,Graduate degree,Pop,Telepathy,Healthy,Relative,Environment
USA,MI,2020,9,Female,14,Right-Handed,166,25,156,2,Car,15,0.78,48,Cycling,500,700,800,400,900,1000,23,Right foot,80,70,Index finger,August,Fall,No,No,Salads,Water,Science,7.5,9,5,Yes - other,Internet chat or instant messaging,40,70,25,3,50,10,6,0,30,5,15,3,0,9,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Health
USA,AK,2020,10,Female,16,Left-Handed,153.7,12,155,3,Bus,60,0.2,30,Soccer,576,316,487,727,160,353,12,Same length,,11,Ring finger,November,,No,No,Soups,Water,Other,0-4,0-3,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,12,1,10,1,2,0,3-63,2,2,4-63,0-24,02-Jan,02-Jan,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Actor,Health
